CODE_PRODUIT;CODE_SITE_ORIGINE;CODE_SITE_DESTINATION;QUANTITE_TRANSFEREE;COUT_UNITAIRE;COUT_TRANSFERT
CO0700;D664;D061;384;3.06;1175.04
CO0700;D017;D008;133;4.24;563.92
CO0700;D216;D462;130;3.43;445.9
CO0700;D062;D022;28;3.43;96.04
CO0700;D507;D303;63;10.04;632.52
CO0700;D625;D022;596;4.24;2527.04
CO0700;D104;D201;687;3.43;2356.41
CO0700;D212;D303;160;8.9;1424.0
CO0700;D213;D303;359;8.9;3195.1
CO0700;D037;D490;114;4.52;515.28
CO0700;D226;D201;40;3.06;122.4
CO0700;D200;D201;588;3.06;1799.28
CO0700;D646;D314;43;3.7;159.1
CO0700;D675;D435;398;3.7;1472.6
CO0700;D218;D201;33;3.43;113.19
CO0700;D116;D305;378;4.52;1708.56
CO0700;D682;D314;732;5.2;3806.4
CO0700;D418;D462;75;3.7;277.5
CO0700;D041;D303;152;10.98;1668.96
CO0700;D635;D631;163;4.52;736.76
CO0700;D115;D305;106;4.24;449.44
CO0700;D512;D303;237;9.24;2189.88
CO0700;D612;D061;1253;3.43;4297.79
CO0700;D683;D314;33;4.52;149.16
CO0700;D225;D303;29;9.24;267.96
CO0700;D648;D314;70;8.9;623.0
CO0700;D476;D305;289;4.24;1225.36
CO0700;D620;D061;931;3.7;3444.7
CO0700;D143;D217;574;4.24;2433.76
CO0700;D126;D305;438;7.06;3092.28
CO0700;D439;D305;492;4.24;2086.08
CO0700;D613;D061;1110;4.24;4706.4
CO0700;D477;D305;103;5.89;606.67
CO0700;D629;D061;312;10.04;3132.48
CO0700;D068;D303;228;11.31;2578.68
CO0700;D442;D305;499;3.06;1526.94
CO0700;D108;D201;135;3.06;413.1
CO0700;D511;D508;260;6.7;1742.0
CO0700;D681;D061;675;3.06;2065.5
CO0700;D056;D022;433;3.06;1324.98
;D644;;0;;
